id,name,type,type_damage,pp,power,description,name_corrected
795,eternabeam,Dragon, Special,5,160,This is Eternatus’s most powerful attack in its originalform. The user can’t move on the next turn.,eternabeam
796,steel beam,Steel, Special,5,140,The user fires a beam of steel that it collected from its entire body. This also damages the user.,steel-beam
797,expanding force,Psychic, Special,10,80,The user attacks the target with its psychic power. When the ground is Psychic Terrain  this move's power is boosted and it damages all opposing Pokémon.,expanding-force
798,steel roller,Steel, Physical,5,130,The user attacks while destroying the terrain. This move fails if the ground hasn't turned into a terrain.,steel-roller
799,scale shot,Dragon, Physical,20,25,The user attacks by shooting scales two to five times in a row. This move boosts the user's Speed stat but lowers its Defense stat.,scale-shot
800,meteor beam,Rock, Special,10,120,The user gathers energy from space and boosts its Sp. Atk stat on the first turn  then attacks on the next turn.,meteor-beam
801,shell side arm,Poison, Special,10,90,This move is either physical or special—whichever will inflict more damage. This may also poison the target.,shell-side-arm
802,misty explosion,Fairy, Special,5,100,The user attacks everything around it and faints upon using this move. This move's power is boosted on Misty Terrain.,misty-explosion
803,grassy glide,Grass, Physical,20,70,Gliding on the ground  the user attacks the target. This move always goes first on Grassy Terrain.,grassy-glide
804,rising voltage,Electric, Special,20,70,The user attacks with electricity rising from the ground. This move's power is doubled if the target is on Electric Terrain.,rising-voltage
805,terrain pulse,Normal, Special,10,50,The user utilizes the energy of the terrain to attack. This move’s type and power change depending on the terrain at the time the move is used.,terrain-pulse
806,skitter smack,Bug, Physical,10,70,The user skitters behind the target to attack. This also lowers the target's Sp. Atk stat.,skitter-smack
807,burning jealousy,Fire, Special,5,70,The user attacks with energy from jealousy. This leaves all opposing Pokémon that have had their stats boosted during the turn with a burn.,burning-jealousy
808,lash out,Dark, Physical,5,75,The user lashes out to vent its frustration toward the target. This move's power is doubled if the user's stats were lowered during this turn.,lash-out
809,poltergeist,Ghost, Physical,5,110,The user attacks by controlling the target's item. This move fails if the target isn't holding an item.,poltergeist
810,corrosive gas,Poison, Status,40,0,The user surrounds everything around it withhighly acidic gas and melts away items they hold.,corrosive-gas
811,coaching,Fighting, Status,10,0,The user properly coaches its ally Pokémon  boosting their Attack and Defense stats.,coaching
812,flip turn,Water, Physical,20,60,After making its attack  the user rushes back to switch places with a party Pokémon in waiting.,flip-turn
813,triple axel,Ice, Physical,10,20,A consecutive three-kick attack that becomes more powerful with each successful hit.,triple-axel
814,dual wingbeat,Flying, Physical,10,40,The user slams the target with its wings to inflict damage. The target is hit twice in a row.,dual-wingbeat
815,scorching sands,Ground, Special,10,70,The user throws scorching sand at the target to attack. This may also leave the target with a burn.,scorching-sands
816,jungle healing,Grass, Status,10,0,The user becomes one with the jungle  restoring HP and curing status conditions for itself and its ally Pokémon currently in the battle.,jungle-healing
817,wicked blow,Dark, Physical,5,80,The user  having mastered the Dark style  strikes the target with a fierce blow. This move always lands a critical hit.,wicked-blow
818,surging strikes,Water, Physical,5,25,The user  having mastered the Water style  strikes the target with a flowing motion three times in a row. This move always lands a critical hit.,surging-strikes
819,thunder cage,Electric, Special,15,80,The user traps the target inside a cage of sparking electricity that inflicts damage for four to five turns.,thunder-cage
820,dragon energy,Dragon, Special,5,150,Converting its life-force into power  the user attacks opposing Pokémon. The lower the user's HP  the lower the move's power.,dragon-energy
821,freezing glare,Psychic, Special,10,90,The user shoots its psychic power from its eyes to attack. This may also leave the target frozen.,freezing-glare
822,fiery wrath,Dark, Special,10,90,The user transforms its wrath into a fire-like aura to attack. This may also make opposing Pokémon flinch.,fiery-wrath
823,thunderous kick,Fighting, Physical,10,90,The user overwhelms the target with lightning-like movement before delivering a kick. This also lowers the target's Defense stat.,thunderous-kick
824,glacial lance,Ice, Physical,5,130,The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon.,glacial-lance
825,astral barrage,Ghost, Special,5,120,The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.,astral-barrage
826,eerie spell,Psychic, Special,5,80,The user attacks with its tremendous psychic power. This also drains 3 PP from the move last used by the target.,eerie-spell
